data,ticker,empresa,categoria,assunto,protocolo,link
14/08/2026 09:29,ANIM3,ANIMA HOLDING S.A.,Comunicado ao Mercado,Apresentação Resultado 2T26,1557566,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082272&numVersao=1&numProtocolo=1557566&descTipo=IPE&CodigoInstituicao=1
14/08/2026 15:36,DASA3,DIAGNOSTICOS DA AMERICA S.A.,Comunicado ao Mercado,Apresentação Resultados 2T26,1557797,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082503&numVersao=1&numProtocolo=1557797&descTipo=IPE&CodigoInstituicao=1
14/08/2026 18:10,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Dados Econômico-Financeiros,Release de Resultados do 2T26,1558106,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082812&numVersao=1&numProtocolo=1558106&descTipo=IPE&CodigoInstituicao=1
14/08/2026 18:40,VIVT3,TELEFÔNICA BRASIL S.A,Aviso aos Acionistas,Deliberação de JSCP,1558156,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082862&numVersao=1&numProtocolo=1558156&descTipo=IPE&CodigoInstituicao=1
14/08/2026 19:48,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Esclarecimento sobre questionamentos da CVM/B3,1558292,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1082998&numVersao=1&numProtocolo=1558292&descTipo=IPE&CodigoInstituicao=1
17/08/2026 07:23,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Comunicado ao Mercado,Call de resultados do 2T26,1558382,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1083088&numVersao=1&numProtocolo=1558382&descTipo=IPE&CodigoInstituicao=1
17/08/2026 18:04,FLRY3,FLEURY S.A.,Comunicado ao Mercado,Apresentação de Resultados 2T26,1558688,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1083394&numVersao=1&numProtocolo=1558688&descTipo=IPE&CodigoInstituicao=1
17/08/2026 18:35,ODPV3,BRADSAUDE S.A.,Dados Econômico-Financeiros,ITR Inglês 3T26,1558699,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1083405&numVersao=1&numProtocolo=1558699&descTipo=IPE&CodigoInstituicao=1
19/08/2026 17:28,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Apresentação 2T26,1559460,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1084166&numVersao=1&numProtocolo=1559460&descTipo=IPE&CodigoInstituicao=1
19/08/2026 18:18,HYPE3,HYPERA S.A.,Dados Econômico-Financeiros,ITR 2T26 ENG,1559549,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1084255&numVersao=1&numProtocolo=1559549&descTipo=IPE&CodigoInstituicao=1
19/08/2026 18:32,QUAL3,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Comunicado ao Mercado,Institucional 2T26,1559556,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1084262&numVersao=1&numProtocolo=1559556&descTipo=IPE&CodigoInstituicao=1
19/08/2026 19:22,ANIM3,ANIMA HOLDING S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária Relevante,1559624,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1084330&numVersao=1&numProtocolo=1559624&descTipo=IPE&CodigoInstituicao=1
20/08/2026 17:50,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Finalização da venda de participação na JV da Arábia Saudita,1559907,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1084613&numVersao=1&numProtocolo=1559907&descTipo=IPE&CodigoInstituicao=1
21/08/2026 08:28,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,1560072,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1084778&numVersao=1&numProtocolo=1560072&descTipo=IPE&CodigoInstituicao=1
21/08/2026 20:00,FLRY3,FLEURY S.A.,Comunicado ao Mercado,Liquidação da 11ª Debêntures da Cia,1560490,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085196&numVersao=1&numProtocolo=1560490&descTipo=IPE&CodigoInstituicao=1
23/08/2026 17:51,QUAL3,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Comunicado ao Mercado,eleição de novo diretor,1560516,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085222&numVersao=1&numProtocolo=1560516&descTipo=IPE&CodigoInstituicao=1
24/08/2026 09:20,YDUQ3,YDUQS PARTICIPACOES S.A.,Fato Relevante,Esclarecimentos sobre notícias envolvendo Yduqs e Afya,1560562,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085268&numVersao=1&numProtocolo=1560562&descTipo=IPE&CodigoInstituicao=1
2026-08-24T08:51:09.000Z,AFYA,Afya,SEC 6-K,6-K,0001292814-26-004318,https://www.sec.gov/Archives/edgar/data/1771007/000129281426004318/afya20260824_6k.htm
24/08/2026 18:07,FLRY3,FLEURY S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária Relevante,1560774,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085480&numVersao=1&numProtocolo=1560774&descTipo=IPE&CodigoInstituicao=1
24/08/2026 20:37,YDUQ3,YDUQS PARTICIPACOES S.A.,Comunicado ao Mercado,Comunicado ao Mercado da 13ª Emissão de Debêntures - Procedimento de Alocação,1560876,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085582&numVersao=1&numProtocolo=1560876&descTipo=IPE&CodigoInstituicao=1
24/08/2026 21:02,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Esclareciemntos sobre questionamento da CVM/B3,1560881,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085587&numVersao=1&numProtocolo=1560881&descTipo=IPE&CodigoInstituicao=1
24/08/2026 21:02,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária Relevante,1560880,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085586&numVersao=1&numProtocolo=1560880&descTipo=IPE&CodigoInstituicao=1
25/08/2026 10:43,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Esclarecimentos sobre questionamento da CVM/B3,1560942,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085648&numVersao=2&numProtocolo=1560942&descTipo=IPE&CodigoInstituicao=1
25/08/2026 11:03,BLAU3,BLAU FARMACÊUTICA S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras 2T26,1560945,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1085651&numVersao=2&numProtocolo=1560945&descTipo=IPE&CodigoInstituicao=1
25/08/2026 20:25,HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Comunicado ao Mercado,Redução da Dívida: Recompra de Debêntures e Liquidação Antecipada de Hedge,1561425,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1086131&numVersao=1&numProtocolo=1561425&descTipo=IPE&CodigoInstituicao=1
25/08/2026 23:06,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Decisão CVM - OPA,1561438,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1086144&numVersao=1&numProtocolo=1561438&descTipo=IPE&CodigoInstituicao=1
26/08/2026 18:12,YDUQ3,YDUQS PARTICIPACOES S.A.,Comunicado ao Mercado,Liquidação da 13ª emissão de debêntures,1561709,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1086415&numVersao=1&numProtocolo=1561709&descTipo=IPE&CodigoInstituicao=1
26/08/2026 22:43,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Atualização da minuta do plano da RE,1561780,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1086486&numVersao=1&numProtocolo=1561780&descTipo=IPE&CodigoInstituicao=1
27/08/2026 14:22,QUAL3,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras 2tri26- Versão em inglês,1561930,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1086636&numVersao=1&numProtocolo=1561930&descTipo=IPE&CodigoInstituicao=1
27/08/2026 21:05,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Informações adicionais - OPA,1562196,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1086902&numVersao=1&numProtocolo=1562196&descTipo=IPE&CodigoInstituicao=1
28/08/2026 19:34,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Comunicado ao Mercado,Notícia veiculada na mídia,1562796,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1087502&numVersao=1&numProtocolo=1562796&descTipo=IPE&CodigoInstituicao=1
